nucleus,nucleus;nuclear;nuclei
mitochondria,mitochondrion;mitochondrial;mitochondria
er,endoplasmic;sarcoplasmic;reticulum;er
intermediatefilament,intermediate filament cytoskeleton
cytoplasm,cytoplasm;cytoplasmic
cellbridge,intercellular bridge
nuclearmembrane,nuclear membrane
vesicle,intracellular membrane-bounded organelle
microtubule,microtubule cytoskeleton
nucleolus,nucleolus;nucleolar
actin,actin cytoskeleton
centrosome,centrosome
plasmamembrane,plasma
celljunction,junction
focaladhesion,focal adhesion
golgi,golgi
nucleoplasm,nucleoplasm
aggresome,aggresome;aggresomes;aggresomal
microtubuleorgcenter,microtubule organizing center
microtubuleend,microtubule end